"番号","日付","銘柄","保有比率","評価額(円)","評価額前日比(円)","評価額前日比率"
"1","2026/07/05","ｅＭＡＸＩＳ　Ｓｌｉｍ　新興国株式インデックス","0.8379","3966","-113","-0.0277"
"2","2026/07/05","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｇコース）","0.0657","311","-2","-0.0064"
"3","2026/07/05","ＳＢＩネクスト・フロンティア高配当株式ファンド（年４回決算型）","0.0564","267","2","0.0075"
"4","2026/07/05","ピクテ新興国インカム株式ファンド（毎月決算型）","0.0312","148","-1","-0.0067"
"5","2026/07/05","ｅＭＡＸＩＳ　Ｓｌｉｍ　バランス（８資産均等型）","0.0086","41","0","0"
