"番号","日付","銘柄","保有比率","評価額(円)","評価額前日比(円)","評価額前日比率"
"1","2026/07/05","ｉＦｒｅｅ　新興国債券インデックス","0.524","382","-2","-0.0052"
"2","2026/07/05","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｇコース）","0.192","140","-1","-0.0071"
"3","2026/07/05","野村新興国債券投信Ｂコース＜為替ヘッジなし＞（毎月分配型）","0.1481","108","-1","-0.0092"
"4","2026/07/05","財産３分法ファンド（不動産・債券・株式）毎月分配型","0.074","54","0","0"
"5","2026/07/05","ｅＭＡＸＩＳ　Ｓｌｉｍ　バランス（８資産均等型）","0.0617","45","0","0"
