"番号","日付","銘柄","保有比率","評価額(円)","評価額前日比(円)","評価額前日比率"
"1","2026/07/05","ｉシェアーズ　ハイイールド債券インデックス・ファンド","0.6767","494","-4","-0.008"
"2","2026/07/05","フィデリティ・ＵＳ　ハイ・イールド・ファンド（毎月決算型）Ｂ（為替ヘッジなし）","0.3232","236","-2","-0.0084"
